Tornado ID,Date/Time,Latitude,Longitude,Fujita scale,Unnamed: 5,TOR_F_SCALE
1228,2013-02-23 16:25:00,-34.8151,150.7679,2,,F2
1298,2015-12-15 23:30:00,-34.0151,151.2012,2,,F2
1300,2016-01-30 12:30:00,-35.4294,149.5011,2,,F2
1308,2014-12-06 05:00:00,-18.44,145.93,2,,F2
1311,2013-01-26 02:50:00,-24.81,152.46,2,,F2
1312,2016-06-19 07:45:00,-26.69,153.11,2,,F2
1313,2016-11-11 05:17:00,-31.9652,141.4513,2,,F2
1327,2017-10-02 04:00:00,-24.9,152.35,2,,F2
1333,2012-03-19 17:00:00,-19.24,146.77,2,,F2
1336,2013-01-26 05:00:00,-24.78,152.42,2,,F2
1337,2013-01-26 06:00:00,-24.77,152.42,2,,F2
1343,2013-06-12 09:30:00,-28.09,151.78,2,,F2
1351,2017-03-30 00:30:00,-24.33,151.56,2,,F2
