TOR_F_SCALE,BEGIN_LAT,BEGIN_LON
F4,31.7947,-92.808
F4,46.11,-96.63
F4,46.13,-96.563
F4,32.9456,-90.1539
F4,32.7003,-90.6783
F4,35.1808,-97.4273
F4,35.377,-97.305
F4,41.5512,-83.538
F4,45.45,-99.71
F4,43.404,-95.8605
F4,34.2203,-85.9602
F4,47.68,-97.32
F4,47.54,-97.3
F4,46.11,-95.425
F4,43.5755,-93.6404
F4,46.43,-95.15
F4,46.41,-95.18
F4,35.5535,-85.1077
F4,35.0371,-84.9875
F4,34.9868,-85.0485
F4,34.82,-85.6314
F4,34.8744,-85.1785
F4,38.7364,-90.4863
F4,34.3054,-86.6549
F4,33.8668,-86.995
F4,35.3969,-85.3253
F4,35.34,-85.42
F4,33.8291,-86.0526
F4,33.6839,-86.5234
F4,33.6448,-87.4238
F4,32.7545,-85.8826
F4,35.3182,-93.9044
F4,35.5459,-84.0274
F4,34.357,-99.194
F4,34.8017,-86.7855
F4,35.5324,-84.0504
F4,34.6208,-85.9814
F4,42.7293,-94.8557
F4,34.662,-87.0705
F4,34.7948,-85.909
F4,33.0606,-87.8315
F4,35.189,-97.67
F4,33.3512,-87.1975
F4,34.939,-97.67
F4,34.3528,-86.5813
F4,35.008,-97.961
F4,34.0757,-87.0097
F4,32.1439,-88.9154
F4,32.0712,-89.3201
F4,38.523,-98.008
F4,37.6945,-88.65
F4,38.5156,-85.8678
F4,38.4316,-86.1893
F4,37.771,-88.3751
F4,38.6061,-85.5808
F4,38.6096,-85.57
F4,38.796,-84.6092
F4,38.1429,-99.4706
F4,38.42,-89.45
F4,40.622,-89.5678
F4,35.284,-97.628
F4,35.308,-97.142
F4,31.2802,-89.4665
F4,32.412,-97.754
F4,42.128,-97.077
F4,42.3319,-96.1086
F4,41.893,-97.33
F4,42.0908,-96.931
F4,41.9528,-97.1369
F4,41.9797,-97.0198
F4,42.127,-96.8686
F4,34.913,-92.4572
F4,44.0372,-98.4032
F4,32.932,-89.3067
F4,41.8886,-89.2381
F4,32.796,-96.5894
F4,35.0471,-88.7866
F4,34.9958,-88.8952
F4,34.5955,-89.7055
F4,34.8117,-89.2983
F4,34.6131,-89.6691
F4,34.9428,-89.0174
F4,34.559,-97.357
F4,38.9917,-97.3713
F4,37.7238,-90.0055
F4,32.357,-95.9549
F4,32.4571,-85.4362
F4,39.8243,-84.4632
F4,38.9689,-95.108
F4,36.1715,-85.6628
F4,46.11,-95.9
F4,46.09,-95.94
F4,31.075,-89.9209
F4,31.5475,-89.6194
F4,31.4641,-89.7579
F4,31.81,-89.1863
F4,31.6661,-89.4004
F4,32.7045,-81.2899
F4,31.2763,-90.1732
F4,33.316,-84.973
F4,36.084,-89.96
F4,36.284,-89.57
F4,37.31,-87.378
F4,36.503,-89.106
F4,36.666,-88.816
F4,37.056,-87.964
F4,36.817,-88.485
F4,37.166,-87.705
F4,33.8055,-94.9175
F4,32.1202,-81.6561
F4,41.2334,-94.2013
F4,33.5995,-95.749
F4,33.5047,-95.2418
F4,41.31,-92.03
F4,32.875,-90.9365
F4,36.3304,-96.3559
F4,41.2,-96.33
F4,41.393,-96.171
F4,41.1579,-94.5951
F4,33.915,-97.144
