date_label,time_label,time_hour,level_index,altitude,speed_m_s,dir_deg,u,v,source_file
1-05,1-05 00Z,0,143,6.9,12.9,65.0,-11.691370452772786,-5.451775576455021,31-05-00Z.csv
1-05,1-05 00Z,0,142,7.0,13.4,70.0,-12.591881118531173,-4.58306992056396,31-05-00Z.csv
1-05,1-05 00Z,0,141,7.3,17.0,80.0,-16.741731801207536,-2.952019020337818,31-05-00Z.csv
1-05,1-05 00Z,0,140,7.9,20.1,80.0,-19.79463583554538,-3.490328371105303,31-05-00Z.csv
1-05,1-05 00Z,0,139,8.6,7.7,75.0,-7.437628862425826,-1.9929066472894101,31-05-00Z.csv
1-05,1-05 00Z,0,138,9.4,6.2,130.0,-4.7494755473376635,3.9852831800565447,31-05-00Z.csv
1-05,1-05 00Z,0,137,9.5,6.7,133.0,-4.900069800848442,4.56938901241874,31-05-00Z.csv
1-05,1-05 00Z,0,136,9.9,9.3,145.0,-5.33426085806473,7.618114011887624,31-05-00Z.csv
1-05,1-05 00Z,0,135,10.0,10.8,125.0,-8.846842078321114,6.194625512591297,31-05-00Z.csv
1-05,1-05 00Z,0,134,10.1,10.6,118.0,-9.359244484304625,4.976398565530441,31-05-00Z.csv
1-05,1-05 00Z,0,133,10.3,10.3,105.0,-9.949036010777403,2.6658361645559667,31-05-00Z.csv
1-05,1-05 00Z,0,132,10.7,9.4,75.0,-9.079702767117242,-2.4328990239636954,31-05-00Z.csv
1-05,1-05 00Z,0,131,10.8,9.3,70.0,-8.739141373308948,-3.180787332928719,31-05-00Z.csv
1-05,1-05 00Z,0,130,11.3,8.2,45.0,-5.798275605729691,-5.798275605729689,31-05-00Z.csv
1-05,1-05 00Z,0,128,11.8,6.2,80.0,-6.10580806867569,-1.0766187015349689,31-05-00Z.csv
1-05,1-05 00Z,0,129,11.8,6.2,80.0,-6.10580806867569,-1.0766187015349689,31-05-00Z.csv
1-05,1-05 00Z,0,127,12.9,10.3,75.0,-9.949036010777405,-2.6658361645559645,31-05-00Z.csv
1-05,1-05 00Z,0,126,13.4,9.6,82.0,-9.506573459919075,-1.336061769216629,31-05-00Z.csv
1-05,1-05 00Z,0,125,14.8,7.7,100.0,-7.583019698194002,1.337090968035363,31-05-00Z.csv
