YEAR,RATING,COUNT
1950,F0,13
1950,F1,84
1950,F2,75
1950,F3,33
1950,F4,12
1950,F5,0
1951,F0,25
1951,F1,88
1951,F2,84
1951,F3,26
1951,F4,7
1951,F5,0
1952,F0,26
1952,F1,84
1952,F2,81
1952,F3,43
1952,F4,26
1952,F5,0
1953,F0,49
1953,F1,146
1953,F2,154
1953,F3,59
1953,F4,39
1953,F5,8
1954,F0,72
1954,F1,210
1954,F2,214
1954,F3,57
1954,F4,16
1954,F5,0
1955,F0,116
1955,F1,204
1955,F2,179
1955,F3,38
1955,F4,12
1955,F5,7
1956,F0,91
1956,F1,177
1956,F2,160
1956,F3,61
1956,F4,29
1956,F5,4
1957,F0,167
1957,F1,275
1957,F2,260
1957,F3,89
1957,F4,40
1957,F5,6
1958,F0,98
1958,F1,200
1958,F2,161
1958,F3,58
1958,F4,5
1958,F5,3
1959,F0,115
1959,F1,229
1959,F2,158
1959,F3,44
1959,F4,10
1959,F5,0
1960,F0,95
1960,F1,230
1960,F2,182
1960,F3,53
1960,F4,12
1960,F5,3
1961,F0,108
1961,F1,229
1961,F2,250
1961,F3,98
1961,F4,17
1961,F5,0
1962,F0,149
1962,F1,244
1962,F2,165
1962,F3,43
1962,F4,6
1962,F5,0
1963,F0,86
1963,F1,164
1963,F2,158
1963,F3,41
1963,F4,10
1963,F5,0
1964,F0,114
1964,F1,249
1964,F2,238
1964,F3,60
1964,F4,12
1964,F5,5
1965,F0,177
1965,F1,260
1965,F2,266
1965,F3,92
1965,F4,74
1965,F5,1
1966,F0,127
1966,F1,197
1966,F2,154
1966,F3,29
1966,F4,8
1966,F5,7
1967,F0,205
1967,F1,265
1967,F2,264
1967,F3,64
1967,F4,24
1967,F5,0
1968,F0,158
1968,F1,241
1968,F2,179
1968,F3,53
1968,F4,20
1968,F5,11
1969,F0,154
1969,F1,205
1969,F2,151
1969,F3,63
1969,F4,18
1969,F5,0
1970,F0,115
1970,F1,229
1970,F2,204
1970,F3,46
1970,F4,28
1970,F5,1
1971,F0,182
1971,F1,386
1971,F2,259
1971,F3,92
1971,F4,25
1971,F5,8
1972,F0,172
1972,F1,349
1972,F2,196
1972,F3,48
1972,F4,11
1972,F5,0
1973,F0,220
1973,F1,505
1973,F2,342
1973,F3,104
1973,F4,26
1973,F5,1
1974,F0,217
1974,F1,399
1974,F2,240
1974,F3,146
1974,F4,84
1974,F5,25
1975,F0,304
1975,F1,386
1975,F2,209
1975,F3,39
1975,F4,18
1975,F5,0
1976,F0,216
1976,F1,369
1976,F2,203
1976,F3,69
1976,F4,26
1976,F5,4
1977,F0,167
1977,F1,353
1977,F2,153
1977,F3,52
1977,F4,15
1977,F5,1
1978,F0,246
1978,F1,252
1978,F2,133
1978,F3,34
1978,F4,7
