country,month,month_name,count,percent
Australia,1,Jan,44,10.209
Australia,2,Feb,38,8.817
Australia,3,Mar,20,4.64
Australia,4,Apr,16,3.712
Australia,5,May,35,8.121
Australia,6,Jun,44,10.209
Australia,7,Jul,35,8.121
Australia,8,Aug,28,6.497
Australia,9,Sep,20,4.64
Australia,10,Oct,42,9.745
Australia,11,Nov,60,13.921
Australia,12,Dec,49,11.369
America,1,Jan,1126,3.155
America,2,Feb,1213,3.399
America,3,Mar,2853,7.995
America,4,Apr,5916,16.579
America,5,May,7822,21.92
America,6,Jun,4955,13.886
America,7,Jul,2891,8.102
America,8,Aug,2310,6.473
America,9,Sep,1737,4.868
America,10,Oct,1710,4.792
America,11,Nov,1671,4.683
America,12,Dec,1480,4.148
